party_id,position,eu_salience,lrecon,lrecon_salience,galtan,galtan_salience,lrgen,immigrate_policy,immigra_salience,immigrate_dissent,multiculturalism,multicult_salience,multicult_dissent,redistribution,redist_salience,environment,enviro_salience,spendvtax,deregulation,econ_interven,civlib_laworder,sociallifestyle,religious_principles,ethnic_minorities,nationalism,urban_rural,protectionism,regions,anti_islam_rhetoric,people_vs_elite,antielite_salience,corrupt_salience,members_vs_leadership
102,6.0,4.0,2.0,8.0,3.0,4.0,2.0,4.0,4.0,3.5,4.0,5.0,3.0,1.0,8.0,4.0,5.0,2.0,2.5,2.0,3.0,2.0,2.0,3.0,4.0,3.0,6.0,6.0,2.0,3.0,2.0,2.0,8.0
103,6.0,4.0,3.0,8.0,2.5,5.0,3.0,4.0,5.0,4.0,3.5,5.0,4.0,1.0,8.0,4.0,4.5,3.0,2.0,2.5,4.0,2.0,2.0,2.5,3.5,3.0,6.0,6.0,2.0,3.0,2.0,1.0,7.0
104,6.5,4.5,2.5,6.5,1.0,6.5,2.0,2.0,6.0,2.0,2.0,6.0,2.0,1.5,7.0,1.0,9.5,2.0,2.0,3.0,2.0,1.0,1.5,1.5,2.0,2.0,6.0,5.5,2.0,6.0,2.5,2.0,4.0
105,6.5,4.5,3.0,6.5,1.0,6.5,2.0,2.0,5.5,2.0,2.5,6.0,2.0,2.5,7.0,1.0,10.0,2.0,3.0,3.0,2.0,1.0,1.5,2.0,2.5,2.0,6.0,5.5,2.0,6.0,2.5,1.5,4.0
106,6.0,5.0,7.0,8.0,3.5,4.0,7.0,6.0,5.0,5.0,6.0,3.0,5.0,6.0,6.0,6.0,3.0,7.0,7.0,7.0,5.0,2.0,1.0,4.0,4.0,5.0,3.0,5.0,2.5,4.5,2.0,2.0,7.0
107,7.0,5.5,7.5,8.0,2.0,4.5,7.0,6.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.5,3.5,7.0,7.0,7.0,5.5,2.0,1.5,5.0,3.0,4.0,2.5,5.5,2.0,6.0,2.0,1.0,7.0
108,7.0,3.0,4.0,7.0,5.0,7.0,5.0,4.0,4.0,4.0,4.0,5.0,3.0,4.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,6.0,4.0,4.0,6.0,5.0,5.0,2.5,4.0,2.0,1.0,7.0
109,7.0,4.0,6.0,7.0,6.5,6.0,5.5,6.0,4.5,5.5,5.0,5.0,5.0,5.0,6.0,5.5,5.0,5.0,5.0,5.0,5.0,4.5,6.5,5.0,6.0,7.0,5.0,4.0,3.0,3.5,2.0,1.5,7.0
110,4.5,4.0,8.0,7.0,6.0,5.0,8.0,9.0,9.0,2.0,8.0,8.0,3.5,7.0,5.0,8.0,4.0,8.0,8.0,8.0,8.0,6.5,5.0,7.0,8.5,6.0,4.0,1.5,6.0,4.5,6.0,2.0,8.5
112,2.0,5.0,4.0,5.0,9.0,7.0,10.0,10.0,10.0,0.0,9.0,10.0,2.0,4.0,4.0,9.0,2.0,5.0,4.0,5.0,9.0,8.0,6.0,9.0,10.0,5.0,8.0,1.0,9.0,9.0,10.0,6.0,10.0
