,climate_change,pro_cars,carnivore_tax,preserve_forests,austerity,basic_income,pro_euro,public_sohe_services,privatize_eldercare,euthanasy,gender_change_under18,wines_to_supermarkets,forbid_energydrinks_u15,decrease_snus_import,equal_parental_leave,extend_education,fshift_summer_vacay,uni_qualvquant,immigrants_dangerous,immigrants_needed,nato_membership,hatespeech_criminalize,traditional_values,hard_police,econ_inequality,individual_responsibility,voter_loyalty,principles
4,5.0,1.0,2.0,5.0,1.0,5.0,5.0,1.0,5.0,1.0,4.0,5.0,4.0,2.0,1.0,4.0,1.0,5.0,1.0,1.0,1.0,5.0,5.0,4.0,4.0,5.0,5.0,2.0
87,5.0,1.0,2.0,5.0,1.0,5.0,5.0,1.0,5.0,1.0,5.0,5.0,1.0,1.0,1.0,5.0,1.0,5.0,1.0,1.0,5.0,5.0,5.0,1.0,1.0,5.0,5.0,5.0
106,5.0,1.0,1.0,4.0,1.0,2.0,4.0,1.0,4.0,1.0,4.0,2.0,1.0,1.0,1.0,4.0,1.0,5.0,1.0,1.0,1.0,5.0,4.0,1.0,4.0,5.0,5.0,1.0
108,5.0,1.0,2.0,5.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,5.0,2.0,1.0,1.0,4.0,2.0,5.0,1.0,1.0,1.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0
109,5.0,2.0,1.0,5.0,1.0,4.0,4.0,1.0,4.0,1.0,4.0,4.0,4.0,1.0,1.0,5.0,4.0,5.0,1.0,2.0,1.0,4.0,4.0,5.0,4.0,2.0,5.0,2.0
148,5.0,2.0,2.0,4.0,4.0,2.0,4.0,1.0,4.0,2.0,4.0,5.0,2.0,2.0,4.0,4.0,2.0,4.0,2.0,2.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0
173,5.0,1.0,2.0,4.0,1.0,2.0,5.0,2.0,2.0,1.0,2.0,5.0,2.0,2.0,4.0,4.0,2.0,4.0,4.0,2.0,4.0,5.0,4.0,2.0,4.0,4.0,5.0,5.0
183,4.0,2.0,2.0,4.0,2.0,2.0,4.0,2.0,4.0,2.0,4.0,4.0,2.0,2.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,4.0,4.0
184,4.0,2.0,4.0,4.0,1.0,2.0,4.0,2.0,4.0,4.0,4.0,5.0,4.0,2.0,4.0,4.0,4.0,2.0,4.0,2.0,5.0,4.0,4.0,4.0,2.0,2.0,4.0,5.0
186,4.0,2.0,2.0,4.0,2.0,2.0,4.0,2.0,4.0,2.0,4.0,4.0,4.0,4.0,2.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0
188,5.0,2.0,2.0,5.0,4.0,4.0,4.0,2.0,5.0,4.0,5.0,4.0,2.0,4.0,2.0,4.0,5.0,2.0,5.0,5.0,1.0,4.0,2.0,2.0,5.0,4.0,2.0,4.0
189,4.0,2.0,2.0,4.0,2.0,2.0,4.0,2.0,4.0,4.0,5.0,4.0,2.0,4.0,2.0,4.0,4.0,4.0,5.0,5.0,4.0,2.0,,2.0,4.0,2.0,5.0,4.0
190,4.0,4.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,2.0,5.0,2.0,4.0,4.0,2.0,5.0,4.0,4.0,2.0,2.0,2.0,4.0,2.0,5.0,4.0
199,4.0,2.0,2.0,4.0,2.0,2.0,2.0,,4.0,2.0,4.0,4.0,4.0,4.0,2.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,4.0,,2.0,4.0
201,5.0,4.0,2.0,4.0,2.0,1.0,2.0,2.0,4.0,1.0,5.0,4.0,4.0,4.0,2.0,4.0,2.0,5.0,4.0,5.0,2.0,4.0,5.0,2.0,5.0,1.0,5.0,4.0
205,5.0,1.0,2.0,4.0,1.0,2.0,2.0,2.0,2.0,1.0,5.0,2.0,2.0,1.0,2.0,4.0,4.0,5.0,2.0,5.0,2.0,4.0,4.0,2.0,5.0,2.0,4.0,4.0
269,4.0,4.0,4.0,4.0,2.0,2.0,4.0,2.0,4.0,2.0,4.0,4.0,2.0,4.0,4.0,4.0,2.0,2.0,4.0,4.0,5.0,2.0,1.0,2.0,2.0,2.0,5.0,5.0
276,4.0,2.0,1.0,4.0,2.0,1.0,4.0,2.0,2.0,2.0,2.0,5.0,4.0,4.0,2.0,4.0,2.0,2.0,4.0,4.0,4.0,4.0,2.0,2.0,4.0,2.0,4.0,5.0
